PMCID,PMID
PMC1636349,16963499
PMC1892038,17579508
PMC1893131,17362624
PMC2169334,10579720
PMC2172711,12835313
PMC2361070,16333304
PMC2364757,15199386
PMC2395333,14710238
PMC2409952,15354209
PMC2504724,17630217
PMC2563799,18674540
PMC2633288,19133133
PMC2644760,19247448
PMC2648385,18752632
PMC2656350,19059699
PMC2660388,19168076
PMC2676549,19367282
PMC2681022,19460904
PMC2726528,19830172
PMC2746254,19702309
PMC2762110,19191756
PMC2770835,19818716
PMC2772273,19881035
PMC2783619,20161399
PMC2844869,19813621
PMC2854684,20418947
PMC2915450,20677291
PMC2927381,20806040
PMC2943226,20859461
PMC2943750,20629634
PMC2946192,20633576
PMC2951286,20890968
PMC2988199,21170118
PMC2991099,20080335
PMC3032351,21147502
PMC3034907,21318045
PMC3045984,21281461
PMC3068504,21364575
PMC3068974,21388547
PMC3072650,21483654
PMC3094853,20058253
PMC3116726,21691575
PMC3128725,21679011
PMC3162981,21876700
PMC3170527,19181290
PMC3176750,21957398
PMC3177242,21926074
PMC3181263,21980465
PMC3236474,22187572
PMC3241549,21934688
PMC3257403,21985690
PMC3263930,21774454
PMC3274170,21465621
PMC3284089,22310813
PMC3305574,22373102
PMC3308357,21674151
PMC3342034,22566904
PMC3343261,22178269
PMC3349471,22507132
PMC3358410,22547706
PMC3376043,22808312
PMC3384732,22518954
PMC3389842,22787480
PMC3397445,22822378
PMC3398872,22815926
PMC3400559,22829783
PMC3400667,22829951
PMC3410531,21104890
PMC3439826,22988441
PMC3515125,23284352
PMC3518421,22337246
PMC3527039,23267373
PMC3531812,23225887
PMC3534768,22889990
PMC3539762,23308079
PMC3546817,23336013
PMC3551791,23276084
PMC3553577,20139964
PMC3559892,23153121
PMC3582925,23467644
PMC3584123,23468924
PMC3594448,23352838
PMC3606474,23506384
PMC3616714,23393191
PMC3646572,23261248
PMC3657158,23022873
PMC3666397,23762114
PMC3672756,23514404
PMC3675465,23589626
PMC3679596,23634903
PMC3681361,22429809
PMC3688665,23840664
PMC3701952,19754739
PMC3705149,23874067
PMC3720988,23761016
PMC3724046,23898467
PMC3725436,23904871
PMC3732227,23936452
PMC3735374,23940823
PMC3739471,19113831
PMC3743172,23956804
PMC3756039,24015288
PMC3756175,24003385
PMC3764921,23736079
PMC3777470,22237039
PMC3777962,24069431
PMC3791350,24106511
PMC3797283,24143102
PMC3820518,24244118
PMC3823092,21352476
PMC3834762,23822584
PMC3836302,24307910
PMC3849129,24016799
PMC3880557,21356653
PMC3880834,24373538
PMC3882233,24400092
PMC3883452,24080184
PMC3884695,23384018
PMC3891976,24373684
PMC3908691,20671726
PMC3917714,20541258
PMC3932529,22521993
PMC3951502,24434143
PMC3984020,24670219
PMC3995631,24620788
PMC4006820,23588304
PMC4009441,24809021
PMC4013830,24053333
PMC4016212,24160453
PMC4019769,24509439
PMC4022263,24708774
PMC4047762,22421041
PMC4050398,24884708
PMC4059508,24797878
PMC4061273,24152380
PMC4108013,24754905
PMC4111710,24810596
PMC4117680,24117827
PMC4135279,25143772
PMC4169310,24650018
PMC4172844,25193513
PMC4195884,25273894
PMC4209721,21816639
PMC4228109,24907897
PMC4228364,24192011
PMC4234291,24650275
PMC4236044,25405347
PMC4253774,25478511
PMC4258417,25043992
PMC4271327,25491605
PMC4281069,25551576
PMC4284314,25168087
PMC4308856,25616812
PMC4342265,25657186
PMC4357973,25829796
PMC4362407,25852568
PMC4382853,25889124
PMC4387937,25905096
PMC4389255,25825024
PMC4396856,25892824
PMC4408861,25964797
PMC4413999,25926995
PMC4419787,25840414
PMC4419845,26000277
PMC4422582,25946018
PMC4424742,26170810
PMC4424885,25935745
PMC4428878,25965909
PMC4460035,26053248
PMC4464655,26061049
PMC4472181,25963628
PMC4486312,26146429
PMC4494653,25692985
PMC4499135,25999344
PMC4506104,25544578
PMC4513358,24792912
PMC4519374,25940564
PMC4524487,26112967
PMC4527087,26243863
PMC4532636,26143012
PMC4549102,26303914
PMC4563127,26425701
PMC4573242,25960081
PMC4573945,26376633
PMC4581479,26404473
PMC4585989,26412311
PMC4607273,23023860
PMC4638067,26622254
PMC4642953,26561860
PMC4659699,21983962
PMC4664489,26648759
PMC4666872,26634103
PMC4671003,26639108
PMC4689150,26709357
PMC4719567,25700381
PMC4721345,26844115
PMC4744627,26852130
PMC4745737,26338969
PMC4761360,26933633
PMC4762050,18836991
PMC4764023,26823174
PMC4774761,27047182
PMC4782372,26951071
PMC4790103,24898186
PMC4791369,27014694
PMC4795621,26986077
PMC4805076,26936326
PMC4808552,27034972
PMC4812276,27069490
PMC4826217,26716506
PMC4830280,21396159
PMC4831698,27078154
PMC4850396,27125496
PMC4850848,27199705
PMC4854515,27070462
PMC4854998,27200373
PMC4860185,26537631
PMC4865138,27171271
PMC4872982,23579757
PMC4874274,27257560
PMC4876206,27247945
PMC4910306,27306994
PMC4916970,26410082
PMC4919188,27281198
PMC4922293,27390464
PMC4923605,27403037
PMC4928355,27364353
PMC4928448,27445774
PMC4944276,27170755
PMC4948744,27222925
PMC4966802,27474010
PMC4972091,27525306
PMC4980477,27540513
PMC4981949,27514748
PMC5010231,24786293
PMC5019573,27642274
PMC5048366,27596437
PMC5048369,27506764
PMC5049933,27485030
PMC5067763,27751272
PMC5074780,27790004
PMC5088358,27803720
PMC5093863,27808126
PMC5100039,27843468
PMC5120958,27880818
PMC5124979,27956798
PMC5139047,26552017
PMC5144104,26969303
PMC5154636,27990348
PMC5159840,27982047
PMC5209837,28053667
PMC5228619,27939900
PMC5263107,27785854
PMC5265844,27472707
PMC5291492,28158258
PMC5297551,28197443
PMC5301969,27576869
PMC5304923,28348328
PMC5307959,28195163
PMC5309697,28169280
PMC5334493,28259070
PMC5344828,28289637
PMC5349250,28291265
PMC5357813,28316281
PMC5362750,26796641
PMC5378389,27381680
PMC5390637,28465628
PMC5397000,28428661
PMC5397319,28150320
PMC5412729,28480131
PMC5418791,28529783
PMC5432815,28510891
PMC5453194,28277979
PMC5467825,28604785
PMC5468129,28616176
PMC5491612,28713378
PMC5498435,22740686
PMC5516121,28769919
PMC5517606,28724946
PMC5533012,28360229
PMC5543414,28602767
PMC5543882,28811962
PMC5558946,28813453
PMC5565969,28830947
PMC5575481,28557204
PMC5580196,28883914
PMC5593168,28689374
PMC5602954,28932626
PMC5605286,29114605
PMC5635221,28777375
PMC5642490,29050215
PMC5667670,29104337
PMC5688972,28667514
PMC5713443,29160859
PMC5717832,29207974
PMC5719030,29213072
PMC5729185,29270009
PMC5740388,29061741
PMC5778460,29220521
PMC5779141,25430415
PMC5789435,29155908
PMC5820244,28291107
PMC5827768,29464990
PMC5842949,29527287
PMC5845890,29563864
PMC5850690,29563667
PMC5852109,29568308
PMC5857496,29581609
PMC5865979,29393430
PMC5866496,29662784
PMC5875862,29596489
PMC5879897,29557375
PMC5884161,29755715
PMC5901748,28612977
PMC5906192,29493223
PMC5926513,29849496
PMC5928520,24186967
PMC5963141,29783984
PMC5968162,29805234
PMC5972793,28837387
PMC5977431,29809055
PMC5986636,29876020
PMC5987387,29992029
PMC6002489,29938207
PMC6010685,29937924
PMC6023935,29955035
PMC6030182,29968748
PMC6030891,29796670
PMC6034806,29979707
PMC6062536,30050153
PMC6074528,18398271
PMC6086080,30123704
PMC6086492,30024510
PMC6093708,30028291
PMC6137404,30428326
PMC6143937,30062756
PMC6155010,30242205
PMC6160911,30200437
PMC6163687,30223531
PMC6167596,30319825
PMC6173987,30017315
PMC6186797,30349541
PMC6187349,30424177
PMC6189789,30338303
PMC6195479,30321699
PMC6200642,30266767
PMC6207039,30483580
PMC6208256,30459884
PMC6224400,29740160
PMC6237025,30428895
PMC6257246,30542420
PMC6257856,30365064
PMC6259360,30027791
PMC6263212,30515021
PMC6279492,30282812
PMC6288018,30549473
PMC6311313,30643658
PMC6318899,30606164
PMC6333425,30261172
PMC6337709,30602709
PMC6338720,30362061
PMC6340886,30675527
PMC6357070,30621047
PMC6367965,30709862
PMC6371581,30744561
PMC6374164,30706071
PMC6384260,30828298
PMC6384923,30682788
PMC6388396,29551768
PMC6389800,30847285
PMC6394653,30542778
PMC6401624,30873191
PMC6404439,30571509
PMC6409866,30717218
PMC6418038,30906313
PMC6428729,30930839
PMC6435570,30949053
PMC6442995,30956762
PMC6453153,31008371
PMC6457668,30476719
PMC6458710,30971222
PMC6461406,30767970
PMC6466773,30987660
PMC6471408,30884810
PMC6472429,31000713
PMC6479004,31015328
PMC6486944,30796730
PMC6489179,31035950
PMC6514008,31086197
PMC6522237,31143309
PMC6528041,31114454
PMC6540391,31138275
PMC6547518,31159885
PMC6553621,31321292
PMC6563625,31205387
PMC6585145,31221168
PMC6589043,31203250
PMC6603414,31293647
PMC6611223,31274189
PMC6628111,31242553
PMC6647146,31331342
PMC6652468,31379913
PMC6669476,31269758
PMC6693770,31412075
PMC6714012,31441935
PMC6723922,31370350
PMC6724002,31430968
PMC6745457,30468149
PMC6747389,31480304
PMC6754420,31541124
PMC6756890,31503006
PMC6761750,31572833
PMC6771309,31513673
PMC6786219,31546546
PMC6789011,31605025
PMC6790594,31291028
PMC6797711,31624253
PMC6802735,31324753
PMC6824563,31675356
PMC6832419,31554345
PMC6868704,31832083
PMC6877405,31777423
PMC6880644,31747387
PMC6910780,31850125
PMC6921122,31890124
PMC6929253,31890722
PMC6959294,31852336
PMC6968980,31673964
PMC6983294,26316238
PMC6986889,31039423
PMC7028266,32069313
PMC7028830,31797087
PMC7031755,32148415
PMC7036182,32087689
PMC7037927,32033167
PMC7044485,32148991
PMC7057491,32131898
PMC7072971,32085487
PMC7073456,32211513
PMC7081315,32193512
PMC7087062,32226348
PMC7091449,32034638
PMC7096066,32226695
PMC7102548,32205232
PMC7102640,32171866
PMC7104711,32231330
PMC7110591,32097725
PMC7118634,32234467
PMC7126290,29751212
PMC7127628,16781449
PMC7128661,32279908
PMC7135676,32269762
PMC7136878,32317153
PMC7137215,32264889
PMC7137402,32264922
PMC7142878,32354637
PMC7142913,32106509
PMC7151311,32292206
PMC7151347,32291137
PMC7154016,31177305
PMC7156211,32205092
PMC7156246,32302675
PMC7156431,32203104
PMC7157814,32198163
PMC7158880,32310621
PMC7160640,32305384
PMC7165103,32311498
PMC7166201,32313880
PMC7167559,32327200
PMC7169930,32325098
PMC7171052,32318325
PMC7174975,32333991
PMC7175896,32339777
PMC7179937,32321856
PMC7180223,32362813
PMC7181704,32332878
PMC7182754,32361528
PMC7183954,32362344
PMC7184165,32341442
PMC7184445,32186711
PMC7187518,32345230
PMC7189410,32306854
PMC7192059,32356047
PMC7194656,32335068
PMC7195078,32335366
PMC7200870,32233935
PMC7212537,32367749
PMC7228336,32242950
PMC7230814,32244779
PMC7232886,32364011
PMC7247150,32353978
PMC7248545,32352656
PMC7256127,32359080
PMC7256353,32367767
PMC7262119,32293716
PMC7262341,32281668
PMC7264870,32333644
PMC7267149,32346988
PMC7277236,32354045
PMC7295272,32316063
